[14Jun2025 23:22:38.066] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[14Jun2025 23:22:38.070] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Ubuntu; OS Linux arch amd64 version 6.8.0-1027-azure
[14Jun2025 23:22:38.437] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[14Jun2025 23:22:38.485] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/serverMc/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[14Jun2025 23:22:38.750] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/serverMc/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.3.7/fmlcore-1.20.1-47.3.7.jar is missing mods.toml file
[14Jun2025 23:22:38.751] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/serverMc/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.3.7/javafmllanguage-1.20.1-47.3.7.jar is missing mods.toml file
[14Jun2025 23:22:38.753] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/serverMc/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.3.7/lowcodelanguage-1.20.1-47.3.7.jar is missing mods.toml file
[14Jun2025 23:22:38.755] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/serverMc/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.3.7/mclanguage-1.20.1-47.3.7.jar is missing mods.toml file
[14Jun2025 23:22:38.898] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 1 dependencies adding them to mods collection
[14Jun2025 23:22:40.618] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[14Jun2025 23:22:40.642] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments [nogui]
[14Jun2025 23:22:47.310] [main/WARN] [mixin/]: Mixin alexscaves.mixins.json:SwampHutPieceMixin has multiple constructors, (Lnet/minecraft/world/level/levelgen/structure/pieces/StructurePieceType;IIIIIILnet/minecraft/core/Direction;)V was selected

[14Jun2025 23:22:47.987] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.3.7, for MC 1.20.1 with MCP 20230612.114412
[14Jun2025 23:22:47.988] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.3.7 Initialized
[14Jun2025 23:22:50.278] [main/INFO] [evilcraft/]: 2205 possible Broom base combinations are ready for flying!
[14Jun2025 23:22:50.490] [main/WARN] [net.minecraft.network.syncher.SynchedEntityData/]: defineId called for: class com.github.alexmodguy.alexscaves.server.entity.living.TremorzillaEntity from class com.github.alexmodguy.alexscaves.server.entity.living.LicowitchEntity
[14Jun2025 23:22:50.532] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/serverMc/servidor_minecraft/config/cyclopscore-common.toml is not correct. Correcting
[14Jun2025 23:22:50.533] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key core was corrected from null to its default, SimpleCommentedConfig:{}. 
[14Jun2025 23:22:50.533] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key core.general was corrected from null to its default, SimpleCommentedConfig:{}. 
[14Jun2025 23:22:50.534] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key core.general.crashOnModCompatCrash was corrected from null to its default, false. 
[14Jun2025 23:22:50.534] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key core.general.debug was corrected from null to its default, false. 
[14Jun2025 23:22:50.534] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key core.general.anonymousAnalyticsID was corrected from null to its default, 40c2402a-4379-4725-95a1-34b0f01a6c70. 
[14Jun2025 23:22:50.534] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key core.general.crashOnInvalidRecipe was corrected from null to its default, false. 
[14Jun2025 23:22:50.534] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key core.general.analytics was corrected from null to its default, true. 
[14Jun2025 23:22:50.534] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key core.general.versionChecker was corrected from null to its default, true. 
[14Jun2025 23:22:50.535] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general was corrected from null to its default, SimpleCommentedConfig:{}. 
[14Jun2025 23:22:50.535] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.general was corrected from null to its default, SimpleCommentedConfig:{}. 
[14Jun2025 23:22:50.535] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.general.devWorldButton was corrected from null to its default, false. 
[14Jun2025 23:22:50.540] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/serverMc/servidor_minecraft/config/citadel-common.toml is not correct. Correcting
[14Jun2025 23:22:50.540] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general was corrected from null to its default, SimpleCommentedConfig:{}. 
[14Jun2025 23:22:50.540] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.Track Entities was corrected from null to its default, true. 
[14Jun2025 23:22:50.540] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.Skip Datapack Warnings was corrected from null to its default, true. 
[14Jun2025 23:22:50.541] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.chunkGenSpawnModifier was corrected from null to its default, 1.0. 
[14Jun2025 23:22:50.541] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key general.April Fools Content was corrected from null to its default, true. 
[14Jun2025 23:22:50.542] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/serverMc/servidor_minecraft/config/alexscaves-general.toml is not correct. Correcting
[14Jun2025 23:22:50.543] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key generation was corrected from null to its default, SimpleCommentedConfig:{}. 
[14Jun2025 23:22:50.543] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key generation.cave_biome_mean_width was corrected from null to its default, 300.0. 
[14Jun2025 23:22:50.543] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key generation.cave_biome_mean_separation was corrected from null to its default, 900. 
[14Jun2025 23:22:50.543] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key generation.cave_biome_width_randomness was corrected from null to its default, 0.15. 
[14Jun2025 23:22:50.543] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key generation.cave_biome_spacing_randomness was corrected from null to its default, 0.45. 
[14Jun2025 23:22:50.544] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key generation.warn_generation_incompatibility was corrected from null to its default, true. 
[14Jun2025 23:22:50.544] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key mob-spawning was corrected from null to its default, SimpleCommentedConfig:{}. 
[14Jun2025 23:22:50.544] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key mob-spawning.cave_creature_spawn_count_modifier was corrected from null to its default, 1.75. 
[14Jun2025 23:22:50.544] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key mob-spawning.drowned_diving_gear_spawn_chance was corrected from null to its default, 0.2. 
[14Jun2025 23:22:50.545] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key mob-behavior was corrected from null to its default, SimpleCommentedConfig:{}. 
[14Jun2025 23:22:50.545] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key mob-behavior.pathfinding_threads was corrected from null to its default, 5. 
[14Jun2025 23:22:50.545] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key mob-behavior.luxtructosaurus_block_drop_chance was corrected from null to its default, 0.75. 
